project_id,name_of_project,location,contractor,office_name,funds_source,project_cost,date_started,completion_orig,completion_actual,status_percent
NC0115T00028,Local Infrastructure Program - Construction of Multi Purpose Building  Brgy. 340  Zone 34  Sta Cruz  Manila CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR","BLACKRAM BUILDERS, INC.","North Manila District Engineering Office,NCR",RLIP,980,9/17/2015,10/26/2015,10/23/2015,100
NC0215H00204,Local Infrastructure Program - Rehabilitation of damaged paved  Wilson Street  Barangay Sta. Lucia  San Juan City GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",STRUKTURA TEKNIKA SERVICES CO.,"Metro Manila 1st District Engineering Office,NCR",RLIP,"4,139",9/14/2015,10/14/2015,10/14/2015,100
NC0115H00068,Improvement of Sidewalk along Vicente Sotto St. fronting Star City (from Roxas Blvd. to Jalandoni St.) Roxas Blvd. Service Road South Bound and Buendia Avenue West Bound  CCP Complex  Pasay City OTHER IMPVT WORKS(SLOPE PROTECTION  DRAINAGE  SIDEWALKS),"Pasay City,South Manila District Engineering Office,NCR",AKH CONSTRUCTION & TRADING CORP.,"South Manila District Engineering Office,NCR",VILP,"4,093",9/4/2015,10/4/2015,9/15/2015,100
NC0115T00039,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay 157  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",DAVHEZ TRADING & CONSTRUCTION,"South Manila District Engineering Office,NCR",RLIP,950,9/4/2015,11/2/2015,10/9/2015,100
NC0115W00002,Construction of Rainwater Collector System (RWCS) Facilities  South Manila District Engineering Office CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",KPGONZALES CONSTRUCTION SUPPLY AND TRADING,"South Manila District Engineering Office,NCR",WSRW,473,9/1/2015,9/30/2015,9/30/2015,100
NC0215T00082,Local Infrastructure Program - Rehabilitation of Multi-Purpose Building  555 Cresta St.  Brgy. Malamig  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",ROYVIL CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,965,8/28/2015,10/27/2015,10/26/2015,100
NC0215T00146,Local Infrastructure Program - Rehabilitation/Construction of Multipurpose Building  Mandaluyong City Lone District  Ayala Homes  Brgy. Barangka Drive CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",SPRING STAR CONSTRUCTION & SUPPLY,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,902",8/27/2015,10/26/2015,10/26/2015,100
NC0215T00153,Local Infrastructure Program - Repair/Rehab of MPB  Block 38  Addition Hills  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",121 CONSTRUCTION CORPORATION (FORMERLY 121 CONSTUC,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,902",8/27/2015,10/25/2015,10/25/2015,100
NC0215T00025,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of Multi-Purpose Building  Brgy. Harapin ang Bukas  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",121 CONSTRUCTION CORPORATION (FORMERLY 121 CONSTUC,"Metro Manila 1st District Engineering Office,NCR",VILP,"1,903",8/27/2015,10/26/2015,10/26/2015,100
NC0215T00135,Local Infrastructure Program - Construction of Covered Court  Block 36  Addition Hills  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",121 CONSTRUCTION CORPORATION (FORMERLY 121 CONSTUC,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,902",8/24/2015,10/23/2015,10/23/2015,100
NC0215H00177,Local Infrastructure Program - Rehabilitation/Improvement of Kalayaan Flyover Avenue  District II  Makati City Asphalt Overlay with Minor Corrections ASPHALT OVERLAY (50 MM THICK),"Makati City II,Metro Manila 2nd District Engineering Office,NCR",RAIN CONSTRUCTION CORPORATION (FORMERLY RAIN CONST,"Metro Manila 2nd District Engineering Office,NCR",RLIP,"4,495",8/21/2015,10/4/2015,10/1/2015,100
NC0215H00140,Local Infrastructure Program - Asphalt Overlay along Main Road (Sto. Niño Maligaya-Zapote-Ilang Ilang-Capt. Samano-Zabarte-Langit Road Kalayaan to Glorieta)  Caloocan City North  1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR","PHILIPPINE CHEMSTEEL INDUSTRIES, INC.","Metro Manila 3rd District Engineering Office,NCR",RLIP,"45,492",8/20/2015,12/17/2015,10/25/2015,100
NC0215S00100,Rehabilitation of San Agustin Elementary School Brgy. Moonwalk  Parañaque City  Metro Manila (Phase II) REHABILITATION,"Parañaque City II,Metro Manila 2nd District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"Metro Manila 2nd District Engineering Office,NCR",RLIP,"1,448",8/19/2015,11/1/2015,10/29/2015,100
NC0215T00015,Local Infrastructure Program - Construction of Multi-Purpose Building at Marikina High School  Barangay Conception Uno  Marikina City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"Metro Manila 1st District Engineering Office,NCR",RLIP,"4,295",8/18/2015,12/15/2015,9/25/2015,100
NC0215T00116,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Bldg.  Marikina City  Nangka Covered Court  Brgy. Nangka  2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",DELPAR CONSTRUCTION & SUPPLIES,"Metro Manila 1st District Engineering Office,NCR",RLIP,483,8/13/2015,10/12/2015,10/10/2015,100
NC0215T00151,Local Infrastructure Program - Repair/rehab of MPB  (Kaban ng Hiyas) Plainview  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",121 CONSTRUCTION CORPORATION (FORMERLY 121 CONSTUC,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,902",8/6/2015,10/5/2015,10/5/2015,100
NC0115H00034,Juan Luna St  -  K0005 + 27 - K0005 + 184 WIDENING - PAVED,"DistrictWide,North Manila District Engineering Office,NCR",M.V. CALDO ENGINEERING CONSTRUCTION AND SUPPLIES,"North Manila District Engineering Office,NCR",WASR,"3,790",8/4/2015,11/1/2015,10/15/2015,100
NC0315S00019,Local Infrastructure Program - Completion/Construction of 4-storey  12 classroom School Building at Krus na Ligas High School  Quezon City 4th LD CONSTRUCTION,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",DIADEMA ENTERPRISES,"Quezon City 2nd District Engineering Office,NCR",RLIP,"2,500",8/4/2015,11/16/2015,10/19/2015,100
NC0115S00008,Local Infrastructure Program - Repair/Rehabilitation of School Building A. Luna Elementary School  Sta Cruz  Manila CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"North Manila District Engineering Office,NCR",RLIP,969,8/4/2015,9/2/2015,9/1/2015,100
NC0215T00060,Local Infrastructure Program-Construction of Covered Walkway at Rizal Technological University Campus  Brgy. Malamig  Mandaluyong City CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",KRBS CONSTRUCTION AND TRADING,"Metro Manila 1st District Engineering Office,NCR",VILP,"3,181",7/31/2015,10/14/2015,10/14/2015,100
NC0215T00029,Local Infrastructure Program – Construction of Covered Walkway at Addition Hills Integrated School  Barangay Addition Hills  Mandaluyong City CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR","TRACSOM BUILDERS, INC.","Metro Manila 1st District Engineering Office,NCR",VILP,"1,940",7/31/2015,9/30/2015,9/24/2015,100
NC0215T00062,Local Infrastructure Program – Repair/ Rehabilitation of Multi-purpose Building (including ground improvement) in Brgy. Burol  Mandaluyong Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",OCTANT BUILDERS & DEVELOPMENT CORPORATION,"Metro Manila 1st District Engineering Office,NCR",VILP,964,7/29/2015,9/11/2015,9/9/2015,100
NC0315H00057,Repair/Rehabilitation/Asphalt Overlay of Civil Relations Service and AFP CMO inside Camp Aguinaldo Road Network  Quezon City ASPHALT OVERLAY (50 MM THICK),"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"Quezon City 2nd District Engineering Office,NCR",VILP,"2,318",7/28/2015,8/19/2015,8/19/2015,100
NC0215T00050,Local Infrastructure Program - Construction of Multi-Purpose Building  Brgy. Tumana  Marikina City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",FRAMECON BUILDERS,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,454",7/28/2015,9/26/2015,9/25/2015,100
NC0215S00050,Local Infrastructure Program - Rehabilitation of Masville Elementary School  Barangay B.F. Homes  Parañaque City 2nd LD   CONSTRUCTION,"DistrictWide,Metro Manila 2nd District Engineering Office,NCR",JURASSIC CONSTRUCTION & SUPPLIES,"Metro Manila 2nd District Engineering Office,NCR",RLIP,"1,440",7/22/2015,10/19/2015,10/16/2015,100
